date;amount;category;description;account;transactionkind
15.09.2022;7,00;Technische Ausrüstung;Microsoft Office;Girokonto;Ausgabe
15.09.2022;50,00;Haus;Elektrizitätswerke Schönau;Girokonto;Ausgabe
25.09.2022;28,79;Freizeit;BooKBeat;Girokonto;Ausgabe
25.09.2022;4,99;Freizeit;Spotify;Girokonto;Ausgabe
03.09.2022;644,08;Investition;Trade Republic;Girokonto;Ausgabe
05.09.2022;180,66;Kleidung;Galeria Kaufhof;Girokonto;Ausgabe
07.09.2022;6,58;Lebensmittel;rewe;Barvermögen;Ausgabe
07.09.2022;3,95;Haushaltsmittel;dm;Barvermögen;Ausgabe
07.09.2022;70,00;Überweisung;Bargeldabhebung;Girokonto;Ausgabe
01.09.2022;13,99;Geschenke;Jurassic World Film;Girokonto;Ausgabe
05.09.2022;66,90;Reisen;DB 50 Card;Girokonto;Ausgabe
07.09.2022;5,30;Reisen;SSB;Girokonto;Ausgabe
07.09.2022;74,00;Tanken;Tanken für 1,91.9;Girokonto;Ausgabe
08.09.2022;25,00;Geschenke;Ausgleichszahlung Inga;Girokonto;Ausgabe
20.09.2022;39,98;Haus;Vodafone;Girokonto;Ausgabe
06.09.2022;74,00;Tanken;Tanken für 1,91.9;Girokonto;Ausgabe
10.09.2022;10,46;Lebensmittel;Rewe;Barvermögen;Ausgabe
10.09.2022;11,20;Reisen;SSB;Girokonto;Ausgabe
16.09.2022;100,00;Überweisung;Bargeldabhebung;Girokonto;Ausgabe
19.09.2022;10,00;Lebensmittel;Bechtle Kantine;Girokonto;Ausgabe
20.09.2022;24,00;Lebensmittel;Burgerheart;Girokonto;Ausgabe
21.09.2022;45,00;Lebensmittel;Cafe del Sol;Girokonto;Ausgabe
22.09.2022;36,95;Haus;Vodafone Kabel;Girokonto;Ausgabe
22.09.2022;128,97;Anpassung;Bargeldanpassung;Barvermögen;Ausgabe
26.09.2022;6,99;Allgemein;Deutsche Post;Barvermögen;Ausgabe
30.09.2022;7,44;Lebensmittel;rewe;Barvermögen;Ausgabe
28.09.2022;58,04;Tanken;Tanken für 1,84.9;Girokonto;Ausgabe
29.09.2022;14,04;Tanken;Tanken für ;Girokonto;Ausgabe
03.10.2022;17,10;Versicherungen;BuV Bayrische Lebensversicherung;Girokonto;Ausgabe
03.10.2022;100,00;Versicherungen;Canada Life Assurance;Girokonto;Ausgabe
